Dates,SPX Index,LBUSTRUU Index
9/24/2003,1721.49,919.83
9/25/2003,1710.83,921.14
9/26/2003,1699.57,924.38
9/29/2003,1717.17,922.53
9/30/2003,1698.02,928.41
10/1/2003,1738.35,928.43
10/2/2003,1742.23,925.53
10/3/2003,1759.59,917.63
10/6/2003,1767.71,920.1
10/7/2003,1776.64,916.64
10/8/2003,1767.4,917.27
10/9/2003,1776.34,915.21
10/10/2003,1775.28,917.35
10/13/2003,1788.45,#N/A
10/14/2003,1795.91,914.03
10/15/2003,1791.38,912.38
10/16/2003,1797.4,909.43
10/17/2003,1777.98,912.31
10/20/2003,1787.67,913.32
10/21/2003,1790.11,913.74
10/22/2003,1761.97,917.13
10/23/2003,1768.16,915.98
10/24/2003,1759.37,920.5
10/27/2003,1763.39,918.61
10/28/2003,1791.7,922.37
10/29/2003,1794.44,919.2
10/30/2003,1792.82,916.65
10/31/2003,1799.65,918.82
11/3/2003,1814.69,916.35
11/4/2003,1804.28,918.84
11/5/2003,1802.04,916.35
11/6/2003,1813.48,913.63
11/7/2003,1805.14,912.36
11/10/2003,1794.24,912.09
11/11/2003,1793.26,#N/A
11/12/2003,1815.66,915.26
11/13/2003,1815.42,921.78
11/14/2003,1801.16,925.04
11/17/2003,1789.01,927.08
11/18/2003,1771.93,927.52
11/19/2003,1787.08,924.32
11/20/2003,1771.24,927.22
